Termin-ID,DatumStart,DatumEnde,UhrzeitStart,UhrzeitEnde,Veranst.-ID,"Intern. Bezeichnung",Überschrift,Teasertext,Inhalt,Ort,PLZ,Strasse,Hausnummer
33926,20260509,20260509,10:00,12:00,47250,"RuheForst Müritz Wanderung im Forstamt Wredenhagen","RuheForst Müritz","Geführte Wanderung durch den RuheForst Müritz ","Als Alternative zu herkömmlichen Bestattungsarten geht RuheForst neue Wege: Die Möglichkeit, in der natürlichen Umgebung des Waldes beigesetzt zu werden, ist für viele Menschen eine würdevolle Art des Abschieds. Ruhe, Harmonie und ständiger Wandel der Natur spenden Trost für Angehörige und Freunde. Entsprechend wird die letzte Ruhestätte nicht Grab, sondern RuheBiotop genannt. Interessenten können sich zu Lebzeiten informieren und beraten lassen, sich mit dem Ort vertraut machen und sich eine letzte Ruhestätte in alten, naturbelassenen Waldbeständen aussuchen.",17209,Sietow,"Einfahrt an der B192",
36198,20260510,20260510,15:00,17:00,55480,"0285.2-2-2026-004-Musikalisches Waldpicknick","Musikalisches Waldpicknick im Forstamt Billenhagen","Wir sorgen für eine entspannte Atmosphäre, Sie für einen gefüllten Picknickkorb.","Wenn Sie ein schönes entspanntes Sonntagnachmittagspicknick verbringen wollen, sind sie hier genau richtig. Unser Forstamt Billenhagen ist rundum von Wald umgeben, wodurch eine idyllische Umgebung garantiert ist. Die Hochschule für Musik und Theater Rostock sorgt für die musikalische Umrahmung, bei der Groß und Klein entspannen können. Im Klang der Musik können Sie die Seele baumeln lassen und Ihre mitgebrachten Lieblingsspeisen genießen. ",18182,Blankenhagen,Billenhagen,3
29659,20260606,20260606,10:00,12:00,47250,"RuheForst Müritz Wanderung im Forstamt Wredenhagen","RuheForst Müritz","Geführte Wanderung durch den RuheForst Müritz ","Als Alternative zu herkömmlichen Bestattungsarten geht RuheForst neue Wege: Die Möglichkeit, in der natürlichen Umgebung des Waldes beigesetzt zu werden, ist für viele Menschen eine würdevolle Art des Abschieds. Ruhe, Harmonie und ständiger Wandel der Natur spenden Trost für Angehörige und Freunde. Entsprechend wird die letzte Ruhestätte nicht Grab, sondern RuheBiotop genannt. Interessenten können sich zu Lebzeiten informieren und beraten lassen, sich mit dem Ort vertraut machen und sich eine letzte Ruhestätte in alten, naturbelassenen Waldbeständen aussuchen.",17209,Sietow,"Einfahrt an der B192",
35700,20260626,20260626,19:00,20:15,53204,"Tidemore - Waldkonzert am Forstamt Neu Pudagla","Tidemore · Waldkonzert auf der Insel Usedom","Akustischer Pop Sound mit Gitarre und Gesang zweier Brüder","Andreas und Matthias Pietsch spielen ihre Akustikgitarren wie eine Rockband. Darüber setzen Sie mit harmonischen Feingefühl einen oft mehrstimmigen Gesang und schaffen eine ergreifende Atmosphäre. Sie berühren tief innen, sind melancholisch und zugleich kraftvoll leidenschaftlich. Genießen Sie dieses musikalische Erlebnis mitten im Wald auf der Waldbühne des Forstamtes Neu Pudagla. Gern können Sie Decken oder Stühle mitbringen. Oder lassen Sie sich auf unseren Baumstammbänken nieder.",17459,Ückeritz,"Neu Pudagla",2
26702,20260704,20260704,10:00,12:00,47250,"RuheForst Müritz Wanderung im Forstamt Wredenhagen","RuheForst Müritz","Geführte Wanderung durch den RuheForst Müritz ","Als Alternative zu herkömmlichen Bestattungsarten geht RuheForst neue Wege: Die Möglichkeit, in der natürlichen Umgebung des Waldes beigesetzt zu werden, ist für viele Menschen eine würdevolle Art des Abschieds. Ruhe, Harmonie und ständiger Wandel der Natur spenden Trost für Angehörige und Freunde. Entsprechend wird die letzte Ruhestätte nicht Grab, sondern RuheBiotop genannt. Interessenten können sich zu Lebzeiten informieren und beraten lassen, sich mit dem Ort vertraut machen und sich eine letzte Ruhestätte in alten, naturbelassenen Waldbeständen aussuchen.",17209,Sietow,"Einfahrt an der B192",
35710,20260716,20260716,19:00,20:15,49276,Waldkonzerte,"Trio The Aberlours - Waldkonzert am Forstamt Neu Pudagla","Das Trio The Aberlours (Halle) beeindruckt mit Keltischer Folkmusik.","Genießen Sie dieses außergewöhnliche musikalische Erlebnis mitten im Wald auf der Waldbühne des Forstamtes Neu Pudagla. Auf dem Forstamtshof hat für Sie bis kurz nach 19 Uhr der Wald- und Wildladen für einen Imbiss oder Getränke geöffnet. Gern können Sie Decken oder Stühle mitbringen. Sonst lassen Sie sich gern auf unseren Baumstammbänken nieder.  ","17459 ","Seebad Ückeritz","Zur Post",2
29656,20260801,20260801,10:00,12:00,47250,"RuheForst Müritz Wanderung im Forstamt Wredenhagen","RuheForst Müritz","Geführte Wanderung durch den RuheForst Müritz ","Als Alternative zu herkömmlichen Bestattungsarten geht RuheForst neue Wege: Die Möglichkeit, in der natürlichen Umgebung des Waldes beigesetzt zu werden, ist für viele Menschen eine würdevolle Art des Abschieds. Ruhe, Harmonie und ständiger Wandel der Natur spenden Trost für Angehörige und Freunde. Entsprechend wird die letzte Ruhestätte nicht Grab, sondern RuheBiotop genannt. Interessenten können sich zu Lebzeiten informieren und beraten lassen, sich mit dem Ort vertraut machen und sich eine letzte Ruhestätte in alten, naturbelassenen Waldbeständen aussuchen.",17209,Sietow,"Einfahrt an der B192",
35708,20260812,20260812,19:00,20:15,49275,Waldkonzerte,"Gruppe Aufwind - Waldkonzert am Forstamt Neu Pudagla","Die Berliner Gruppe Aufwind überwältigt mit ihren Jiddischen Liedern und Klesmermusik.","Genießen Sie dieses außergewöhnliche musikalische Erlebnis mitten im Wald auf der Waldbühne des Forstamtes Neu Pudagla. Auf dem Forstamtshof hat für Sie bis kurz nach 19 Uhr der Wald- und Wildladen für einen Imbiss oder Getränke geöffnet. Gern können Sie Decken oder Stühle mitbringen. Sonst lassen Sie sich gern auf unseren Baumstammbänken nieder.  ",17459,"Seebad Ückeritz","Neu Pudagla ",2
29657,20260905,20260905,10:00,12:00,47250,"RuheForst Müritz Wanderung im Forstamt Wredenhagen","RuheForst Müritz","Geführte Wanderung durch den RuheForst Müritz ","Als Alternative zu herkömmlichen Bestattungsarten geht RuheForst neue Wege: Die Möglichkeit, in der natürlichen Umgebung des Waldes beigesetzt zu werden, ist für viele Menschen eine würdevolle Art des Abschieds. Ruhe, Harmonie und ständiger Wandel der Natur spenden Trost für Angehörige und Freunde. Entsprechend wird die letzte Ruhestätte nicht Grab, sondern RuheBiotop genannt. Interessenten können sich zu Lebzeiten informieren und beraten lassen, sich mit dem Ort vertraut machen und sich eine letzte Ruhestätte in alten, naturbelassenen Waldbeständen aussuchen.",17209,Sietow,"Einfahrt an der B192",
35707,20260908,20260908,10:00,12:30,49772,"Wanderung um den Wockninsee","Försterwanderung auf der Insel Usedom um das Naturschutzgebiet Wockninsee","Fachkundige Wanderung um das Naturschutzgebiet Wockninsee mit Försterin Sylvia Schreiber.","Erfahren Sie etwas über die Renaturierung des Campingplatzes Anfang der 90er Jahre, tauchen Sie in den Lebensraum des Naturschutzgebietes Wockninsee und die Waldwirtschaft ein - vergleichen Sie heute und gestern. Eine 4 km lange familienfreundliche Wanderung.",17459,"Seebad Ückeritz",Bäderstraße,5
